pro_com_t,cap
001001,10011
001002,10060
001003,10070
001004,10010
001006,10040
001007,10080
001008,10091
001009,10020
001010,10010
001011,10060
001012,10020
001013,10051
001014,10010
001015,10010
001016,10070
001017,10080
001018,10020
001019,10070
001020,10010
001021,10070
001022,10052
001023,10010
001024,10092
001025,10060
001026,10060
001027,10012
001028,10071
001029,10080
001030,10013
001031,10031
001032,10050
001033,10080
001034,10032
001035,10060
001036,10080
001037,10020
001038,10090
001039,10020
001040,10050
001041,10060
001042,10010
001043,10080
001044,10053
001045,10090
001046,10070
001047,10014
001048,10020
001049,10060
001050,10010
001051,10060
001052,10080
001053,10060
001054,10070
001055,10040
001056,10010
001057,10010
001058,10041
001059,10022
001060,10020
001061,10010
001062,10040
001063,10072
001064,10090
001065,10060
001066,10081
001067,10080
001068,10090
001069,10020
001070,10061
001071,10060
001072,10070
001073,10080
001074,10054
001075,10070
001076,10050
001077,10010
001078,10023
001079,10080
001080,10050
001081,10050
001082,10034
001083,10080
001084,10080
001085,10090
001086,10073
001087,10050
001088,10070
001089,10050
001090,10093
001091,10080
001092,10010
001093,10055
001094,10070
001095,10010
001096,10090
001097,10040
001098,10082
001099,10040
001100,10050
001101,10083
001102,10080
001103,10060
001104,10070
001105,10010
001106,10090
001107,10084
001108,10080
001109,10070
001110,10060
001111,10060
001112,10090
001113,10070
001114,10050
001115,10094
001116,10040
001117,10050
001118,10070
001119,10070
001120,10095
001121,10080
001122,10060
001123,10046
001124,10080
001125,10015
001126,10040
001127,10040
001128,10074
001129,10020
001130,10040
001131,10070
001132,10010
001133,10070
001134,10080
001135,10040
001136,10040
001137,10010
001139,10062
001140,10060
001141,10080
001142,10060
001143,10030
001144,10020
001145,10060
001146,10075
001147,10050
001148,10035
001149,10050
001150,10010
001152,10070
001153,10020
001154,10059
001155,10070
001156,10024
001157,10050
001158,10020
001159,10090
001160,10016
001161,10017
001162,10020
001163,10020
001164,10042
001165,10080
001166,10076
001167,10010
001168,10060
001169,10050
001170,10080
001171,10043
001172,10010
001173,10060
001174,10040
001175,10056
001176,10080
001177,10010
001178,10060
001179,10010
001180,10020
001181,10018
001183,10020
001184,10063
001185,10010
001186,10060
001187,10080
001188,10070
001189,10044
001190,10060
001191,10064
001192,10025
001193,10040
001194,10045
001195,10060
001196,10010
001197,10046
001198,10063
001199,10085
001200,10060
001201,10060
001202,10060
001203,10040
001204,10065
001205,10060
001206,10080
001207,10080
001208,10010
001209,10010
001210,10010
001211,10090
001212,10080
001213,10090
001214,10040
001215,10020
001216,10080
001217,10086
001218,10040
001219,10098
001220,10070
001221,10070
001222,10060
001223,10090
001224,10080
001225,10030
001226,10060
001227,10060
001228,10090
001229,10040
001230,10010
001231,10080
001232,10050
001233,10010
001234,10060
001235,38059
001236,10080
001237,10070
001238,10080
001239,10050
001240,10070
001241,10090
001242,10065
001243,10040
001244,10090
001245,10050
001246,10090
001247,10010
001248,10077
001249,10099
001250,10060
001251,10080
001252,10090
001253,10020
001254,10060
001255,10057
001256,10050
001257,10026
001258,10054
001259,10050
001260,10060
001261,10010
001262,10090
001263,10058
001264,10010
001265,10036
001266,10010
001267,10080
001268,10010
001269,10019
001270,10059
001271,10010
001272,10138
001273,10037
001274,10010
001275,10066
001276,10090
001278,10080
001279,10070
001280,10028
001281,10060
001282,10070
001283,10050
001284,10040
001285,10094
001286,10070
001287,10087
001288,10080
001289,10070
001290,10070
001291,10050
001292,10078
001293,10038
001294,10020
001295,10030
001296,10090
001298,10080
001299,10067
001300,10068
001301,10070
001302,10090
001303,10040
001304,10030
001305,10050
001306,10060
001307,10069
001308,10029
001309,10048
001310,10060
001311,10030
001312,10080
001313,10070
001314,10088
001315,10040
001316,10072
001317,10010
001318,10080
002002,13021
002003,13030
002004,13040
002006,13031
002007,13032
002008,13020
002009,13040
002011,13041
002014,13022
002015,13040
002016,13011
002017,13012
002021,13040
002025,13023
002029,13026
002030,13010
002031,13030
002032,13040
002033,13030
002035,13030
002041,13025
002042,13043
002043,13010
002045,13030
002047,13033
002048,13020
002049,13044
002052,13040
002054,13034
002057,13025
002058,13040
002059,13030
002061,13045
002062,13030
002065,13030
002066,13010
002067,13046
002068,13035
002070,13034
002071,13046
002072,13045
002078,13020
002079,13040
002082,13010
002088,13047
002089,13030
002090,13040
002091,13030
002093,13010
002096,13020
002097,13020
002102,13010
002104,13012
002107,13017
002108,13030
002110,13020
002113,13020
002115,13030
002116,13060
002118,13036
002121,13020
002122,13040
002126,13040
002127,13040
002128,13040
002131,13047
002133,13048
002134,13027
002135,13028
002137,13037
002142,13010
002147,13038
002148,13039
002150,13049
002152,13018
002156,13019
002158,13100
002163,13030
002164,13010
002166,13020
002170,13026
002171,13024
003001,28010
003002,28010
003006,28011
003008,28041
003012,28010
003016,28043
003018,28061
003019,28010
003021,28010
003022,28010
003023,28071
003024,28021
003025,28040
003026,28010
003027,28072
003030,28010
003032,28062
003036,28064
003037,28060
003039,28060
003040,28060
003041,28060
003042,28060
003043,28053
003044,28010
003045,28010
003047,28010
003049,28065
003051,28010
003052,28060
003055,28012
003058,28060
003060,28010
003062,28040
003065,28073
003066,28010
003068,28066
003069,28070
003070,28010
003073,28074
003076,28024
003077,28060
003079,28075
003082,28045
003083,28064
003084,28040
003088,28014
003090,28060
003091,28040
003093,28040
003095,28046
003097,28040
003098,28010
003100,28015
003103,28010
003104,28070
003106,28100
003108,28047
003109,28040
003112,28016
003114,28040
003115,28010
003116,28028
003119,28010
003120,28076
003121,28050
003122,28077
003129,28060
003130,28078
003131,28068
003133,28017
003134,28060
003135,28060
003138,28064
003139,28070
003140,28010
003141,28060
003143,28019
003144,28070
003146,28070
003149,28069
003153,28010
003154,28040
003158,28079
003159,28060
003164,28060
003166,28013
004001,12021
004002,12010
004003,12051
004004,12050
004005,12070
