pro_com_t,cf
001001,83501790014
001002,85002910017
001003,83002970016
001004,01735420018
001006,01817670019
001007,01673090013
001008,86003150017
001009,90003860013
001010,84003370016
001011,01451180010
001012,82000590016
001013,01655950010
001014,84000970016
001015,83501730010
001016,01834020016
001017,83501370015
001018,90002900018
001019,83002910012
001020,84000990014
001021,83000050019
001022,86501270010
001023,01385030018
001024,02042100012
001025,02089080010
001026,02168110019
001027,84000650014
001028,83000090015
001029,01952540019
001030,01799260011
001031,84003430018
001032,86501310014
001033,85501230016
001034,82501690018
001035,01485680019
001036,84003090010
001037,82500410012
001038,86003310017
001039,82500610017
001040,01375760012
001041,85002970011
001042,01976030013
001043,85501210018
001044,86501170012
001045,03901620017
001046,83002410013
001047,84002950016
001048,01497290013
001049,01340750015
001050,01769350016
001051,01717430019
001052,01868520014
001053,01689900015
001054,83002890016
001055,01468480015
001056,84003450016
001057,84001010010
001058,84515520017
001059,01562840015
001060,82500490014
001061,01847110010
001062,01290670015
001063,01614790010
001064,82501750010
001065,85003030013
001066,01432050019
001067,83501890012
001068,00775690019
001069,82500670011
001070,01888550017
001071,85003050011
001072,83000610010
001073,01774080012
001074,01651110015
001075,83002850010
001076,01271840017
001077,02195200015
001078,82000210011
001079,92505180015
001080,86501290018
001081,01734110016
001082,82500150014
001083,85501290010
001084,83501580019
001085,82500510019
001086,83000390019
001087,01651230011
001088,01350940019
001089,86003010013
001090,00524380011
001091,83501930016
001092,01844710010
001093,01468460017
001094,83002510010
001095,84001030018
001096,02143010011
001097,85003070019
001098,83501110015
001099,01511410019
001100,04223300015
001101,85500610010
001102,85501270012
001103,85003090017
001104,83000770012
001105,01763890017
001106,82501510018
001107,85501190012
001108,83502660018
001109,83002610018
001110,85003110013
001111,85003130011
001112,82500830011
001113,83000910014
001114,86501150014
001115,86003330015
001116,01651250019
001117,86501210016
001118,83000970018
001119,01545330019
001120,01472860012
001121,01840350019
001122,85003150019
001123,84502050010
001124,02013410010
001125,00519320014
001126,01560470013
001127,84500810019
001128,83002670012
001129,82500430010
001130,01777400019
001131,83001270012
001132,84002870016
001133,85500790010
001134,01394550014
001135,85501510011
001136,85003170017
001137,01895450011
001139,01466170014
001140,02054360017
001141,83502320019
001142,85009840019
001143,01956170011
001144,90003870012
001145,85000150012
001146,01568600017
001147,02057820017
001148,01798300016
001149,02057840015
001150,84003830019
001152,01323030013
001153,82000630010
001154,86501190010
001155,01350920011
001156,01577930017
001157,01021740012
001158,90011130011
001159,01156620013
001160,01741070013
001161,01933140012
001162,82501830010
001163,82000610012
001164,94031420014
001165,83500090010
001166,01282670015
001167,84003390014
001168,85003190015
001169,00878080019
001170,85501390018
001171,01384600019
001172,01156600015
001173,85002230010
001174,85003210011
001175,01120470016
001176,85501310016
001177,84001110018
001178,85003230019
001179,01783820010
001180,90011120012
001181,01700790015
001183,90002610013
001184,85002730019
001185,84002970014
001186,85000130014
001187,83501630012
001188,83001510011
001189,01299070019
001190,85003250017
001191,01750860015
001192,82000370013
001193,01579530013
001194,01614770012
001195,85003820017
001196,84001150014
001197,84502090016
001198,85003270015
001199,83501970012
001200,01216670016
001201,85003290013
001202,85000070012
001203,84502010014
001204,01717670010
001205,85002710011
001206,01868540012
001207,01871460018
001208,01814490015
001209,02156820017
001210,84001170012
001211,86002550019
001212,01394590010
001213,82500550015
001214,01864440019
001215,90003890010
001216,85501330014
001217,01413960012
001218,85501570015
001219,00529840019
001220,83001550017
001221,83002630016
001222,01689990016
001223,84003030016
001224,01487160010
001225,01570160018
001226,02089100016
001227,85003350015
001228,01679120012
001229,01817650011
001230,84003670019
001231,83501810010
001232,00881010011
001233,84001190010
001234,85003370013
001235,81002230225
001236,01875020016
001237,83003210016
001238,83501990010
001239,86501330012
001240,83002830012
001241,86008310012
001242,01303920019
001243,86008190018
001244,02143040018
001245,01271860015
001246,83501840017
001247,84003870015
001248,01126920014
001249,01113180010
001250,85002770015
001251,83501390013
001252,82501670010
001253,82500710015
001254,02039660010
001255,86002450012
001256,01473430013
001257,82000790012
001258,01299530012
001259,01299510014
001260,85003410017
001261,84001840010
001262,82500570013
001263,01139410011
001264,84001210016
001265,01054240013
001266,84003810011
001267,01394570012
001268,01763870019
001269,84002930018
001270,86501110018
001271,02156840015
001272,00514490010
001273,01769850015
001274,01991340017
001275,01451120016
001276,86001770014
001278,84003110016
001279,83001930011
001280,01733310013
001281,85003450013
001282,83001970017
001283,01473450011
001284,86003470019
001285,86003530010
001286,01399810017
001287,83501310011
001288,02216150017
001289,83002070015
001290,83002730014
001291,01865850018
001292,01710650019
001293,82500370018
001294,82500250012
001295,84000690010
001296,84003850017
001298,02013430018
001299,85003470011
001300,01692900010
001301,83002110019
001302,86008350018
001303,86002210010
001304,01454620012
001305,01375740014
001306,02168090013
001307,01136320015
001308,01791460015
001309,01504430016
001310,85003550010
001311,01397480011
001312,01745550010
001313,83002150015
001314,01573560016
001315,01939640015
001316,92048130014
001317,93048750017
001318,93048770015
002002,82000010023
002003,80002170027
002004,00317490027
002006,00374100022
002007,80003270024
002008,82000110021
002009,00425380029
002011,84500430024
002014,82000130029
002015,00319610028
002016,00210430021
