pro_com_t,link,pec,cf,cap
001001,http://comune.aglie.to.it,protocollo@pec.comune.aglie.to.it,83501790014,10011
001002,http://comune.airasca.to.it,airasca@postemailcertificata.it,85002910017,10060
001003,http://comunealadistura.it,comunealadistura@pec.it,83002970016,10070
001004,http://comune.albianodivrea.to.it,albiano.divrea@cert.ruparpiemonte.it,01735420018,10010
001006,http://comune.almese.to.it,comune.almese.to@cert.legalmail.it,01817670019,10040
001007,http://comune.alpette.to.it,comune.alpette.to@legalmail.it,01673090013,10080
001008,http://comune.alpignano.to.it,protocollo.alpignano@cert.legalmail.it,86003150017,10091
001009,http://comune.andezeno.to.it,comune.andezeno.to@legalmail.it,90003860013,10020
001010,http://comune.andrate.to.it,andrate@cert.ruparpiemonte.it,84003370016,10010
001011,http://comune.angrogna.to.it,angrogna@cert.ruparpiemonte.it,01451180010,10060
001012,http://comune.arignano.to.it,arignano.torino@legalmail.it,82000590016,10020
001013,http://comune.avigliana.to.it,comuneavigliana@cert.legalmail.it,01655950010,10051
001014,http://comune.azeglio.to.it,protocollo.azeglio@cert.ruparpiemonte.it,84000970016,10010
001015,http://comune.bairo.to.it,bairo@postemailcertificata.it,83501730010,10010
001016,http://comune.balangero.to.it,segreteria.balangero@pec.it,01834020016,10070
001017,http://comune.baldisserocanavese.to.it,segreteria.baldisserocanavese@actaliscertymail.it,83501370015,10080
001018,http://comune.baldisserotorinese.to.it,anagrafe.baldissero.torinese@cert.ruparpiemonte.it,90002900018,10020
001019,http://comune.balme.to.it,balme@pec.comune.balme.to.it,83002910012,10070
001020,http://comune.banchette.to.it,banchette@cert.ruparpiemonte.it,84000990014,10010
001021,http://comune.barbania.to.it,barbania@cert.ruparpiemonte.it,83000050019,10070
001022,http://comune.bardonecchia.to.it,comune.bardonecchia@pec.it,86501270010,10052
001023,http://comune.barone.to.it,barone.canavese@cert.ruparpiemonte.it,01385030018,10010
001024,http://comune.beinasco.to.it,protocollo@comune.beinasco.legalmail.it,02042100012,10092
001025,http://comune.bibiana.to.it,postacert@pec.comunebibiana.it,02089080010,10060
001026,http://comune.bobbiopellice.to.it,protocollo.comunebobbiopellice@pec.it,02168110019,10060
001027,http://comune.bollengo.to.it,comune.bollengo.to@legalmail.it,84000650014,10012
001028,http://comune.borgaro-torinese.to.it,comune.borgaro-torinese.to@cert.legalmail.it,83000090015,10071
001029,http://comune.borgiallo.to.it,borgiallo@cert.ruparpiemonte.it,01952540019,10080
001030,http://comune.borgofranco.to.it,comune.borgofrancodivrea@pec.it,01799260011,10013
001031,http://comune.borgomasino.to.it,ragioneria.comune.borgomasino@pec.it,84003430018,10031
001032,http://comune.borgonesusa.to.it,protocollo@pec.comune.borgonesusa.to.it,86501310014,10050
001033,http://bosconerocanavese.it,bosconero@cert.ruparpiemonte.it,85501230016,10080
001034,http://comune.brandizzo.to.it,protocollo.comune.brandizzo.to@legalmail.it,82501690018,10032
001035,http://comune.bricherasio.to.it,bricherasio@pcert.it,01485680019,10060
001036,http://comune.brosso.to.it,brosso@cert.ruparpiemonte.it,84003090010,10080
001037,http://comune.brozolo.to.it,comunebrozolo@pec.it,82500410012,10020
001038,http://comune.bruino.to.it,comune.bruino.to@cert.legalmail.it,86003310017,10090
001039,http://comune.brusasco.to.gov.it,brusasco@cert.ruparpiemonte.it,82500610017,10020
001040,http://comune.bruzolo.to.it,comune.bruzolo@anutel.it,01375760012,10050
001041,http://comune.buriasco.to.it/,protocollo@pec.comune.buriasco.to.it,85002970011,10060
001042,http://comune.burolo.to.it/,protocollo@pec.comuneburolo.it,01976030013,10010
001043,http://comune.busano.to.it/,busano@cert.ruparpiemonte.it,85501210018,10080
001044,http://comune.bussoleno.to.it/,bussoleno@postemailcertificata.it,86501170012,10053
001045,http://comune.buttiglieraalta.to.it/,comune@pec.comune.buttiglieraalta.to.it,03901620017,10090
001046,http://comune.cafasse.to.it/,comune.cafasse@pec.it,83002410013,10070
001047,http://comune.caluso.to.it/,protocollo@pec.comune.caluso.to.it,84002950016,10014
001048,http://comune.cambiano.to.it,comune.cambiano@legalmail.it,01497290013,10020
001049,http://comune.campiglionefenile.to.it/,protocollo@cert.comune.campiglionefenile.to.it,01340750015,10060
001050,http://comune.candia.to.it,candia.canavese@cert.ruparpiemonte.it,01769350016,10010
001051,http://comune.candiolo.torino.it,comune.candiolo.to@cert.legalmail.it,01717430019,10060
001052,http://comune.canischio.to.it,canischio@cert.ruparpiemonte.it,01868520014,10080
001053,http://comune.cantalupa.to.it,protocollo@pec.comune.cantalupa.to.it,01689900015,10060
001054,http://comune.cantoira.to.it,comune.cantoira@legalmail.it,83002890016,10070
001055,http://comune.caprie.to.it,comune.caprie.to@legalmail.it,01468480015,10040
001056,http://comune.caravino.to.it,caravino@cert.ruparpiemonte.it,84003450016,10010
001057,http://comune.carema.to.it,comune.carema@pec.comune.carema.to.it,84001010010,10010
001058,http://comune.carignano.to.it,protocollo@cert.comune.carignano.to.it,84515520017,10041
001059,http://comune.carmagnola.to.it/ComHome.asp,protocollo.carmagnola@cert.legalmail.it,01562840015,10022
001060,http://comune.casalborgone.to.it,casalborgone@postemailcertificata.it,82500490014,10020
001061,http://comune.cascinette.to.it,cascinette@pec.comune.cascinette.to.it,01847110010,10010
001062,http://comune.caselette.to.it,comune.caselette.to@legalmail.it,01290670015,10040
001063,http://comune.caselle-torinese.to.it,comune.caselle-torinese@legalmail.it,01614790010,10072
001064,http://comune.castagnetopo.to.it,comune.castagnetopo.to@legalmail.it,82501750010,10090
001065,http://comune.castagnolepiemonte.to.it,info@pec.castagnolepiemonte.net,85003030013,10060
001066,http://comune.castellamonte.to.it,protocollo@pec.comune.castellamonte.to.it,01432050019,10081
001067,http://comune.castelnuovonigra.to.it,comune.castelnuovonigra@pec.it,83501890012,10080
001068,http://comune.castiglionetorinese.to.it,comune.castiglionetorinese.to@cert.legalmail.it,00775690019,10090
001069,http://comune.cavagnolo.to.it,cavagnolo@cert.ruparpiemonte.it,82500670011,10020
001070,http://comune.cavour.to.it,protocollo@pec.comune.cavour.to.it,01888550017,10061
001071,http://comune.cercenasco.to.it,ragioneria@pec.comune.cercenasco.to.it,85003050011,10060
001072,http://comune.ceres.to.it,comune.ceres@pec.comune.ceres.to.it,83000610010,10070
001073,http://comune.ceresolereale.to.it,ceresole.reale@cert.ruparpiemonte.it,01774080012,10080
001074,http://comune.cesana.to.it,comunecesana@legalmail.it,01651110015,10054
001075,http://comune.chialamberto.to.it,comchialamberto@pec.it,83002850010,10070
001076,http://comune.chianocco.to.it,segreteria@pec.comune.chianocco.to.it,01271840017,10050
001077,http://comune.chiaverano.to.it,pec@pec.comune.chiaverano.to.it,02195200015,10010
001078,http://comune.chieri.to.it,protocollo.chieri@pcert.it,82000210011,10023
001079,http://comune.chiesanuova.to.it,comchiesanuova@postecert.it,92505180015,10080
001080,http://comune.chiomonte.to.it,segreteria.chiomonte@pec.it,86501290018,10050
001081,http://comune.chiusadisanmichele.to.it,protocollo.chiusa.san.michele@cert.ruparpiemonte.it,01734110016,10050
001082,http://comune.chivasso.to.it,protocollo@pec.comune.chivasso.to.it,82500150014,10034
001083,http://comune.ciconio.to.it,ciconio@cert.ruparpiemonte.it,85501290010,10080
001084,http://comune.cintano.to.it,cintano@cert.ruparpiemonte.it,83501580019,10080
001085,http://comune.cinzano.to.it,comune.cinzanotorino.to@cert.legalmail.it,82500510019,10090
001086,http://cirie.net,protocollo.cirie@cert.ruparpiemonte.it,83000390019,10073
001087,http://comune.claviere.to.it,comuneclaviere@legalmail.it,01651230011,10050
001088,http://comune.coassolo.to.it,ragioneria.comune.coassolo@documentipec.com,01350940019,10070
001089,http://comune.coazze.to.it,protocollo@pec.comune.coazze.to.it,86003010013,10050
001090,http://comune.collegno.gov.it,posta@cert.comune.collegno.to.it,00524380011,10093
001091,http://comune.collerettocastelnuovo.to.it,colleretto.castelnuovo@cert.ruparpiemonte.it,83501930016,10080
001092,http://comune.collerettogiacosa.to.it/,colleretto.giacosa@cert.ruparpiemonte.it,01844710010,10010
001093,http://comune.condove.to.it,comune.condove.to@legalmail.it,01468460017,10055
001094,http://comune.corio.to.it,info@pec.comune.corio.to.it,83002510010,10070
001095,http://comune.cossano.to.it,protocollo.cossano.canavese@cert.ruparpiemonte.it,84001030018,10010
001096,http://comune.cuceglio.to.it,cuceglio@cert.ruparpiemonte.it,02143010011,10090
001097,http://comune.cumiana.to.it,comune.cumiana.to@legalmail.it,85003070019,10040
001098,http://comune.cuorgne.to.it,comune.cuorgne.to.it@pec.it,83501110015,10082
001099,http://comune.druento.to.it,comune.druento.to@legalmail.it,01511410019,10040
001100,http://comune.exilles.to.it,comune.exilles@legalmail.it,04223300015,10050
001101,http://comune.favria.to.it,segreteria.favria@pec.it,85500610010,10083
001102,http://comune.feletto.to.it/,protocollo.feletto@pec.it,85501270012,10080
001103,http://comune.fenestrelle.to.it,fenestrelle@postemailcertificata.it,85003090017,10060
001104,http://comune.fiano.to.it,fiano@postemailcertificata.it,83000770012,10070
001105,http://comune.fioranocanavese.to.it,fiorano.canavese@cert.ruparpiemonte.it,01763890017,10010
001106,http://comune.foglizzo.to.it,foglizzo@cert.ruparpiemonte.it,82501510018,10090
001107,http://comune.fornocanavese.to.it,fornocanavese@postemailcertificata.it,85501190012,10084
001108,http://comune.frassinetto.to.it,comune.frassinetto@pec.it,83502660018,10080
001109,http://comune.front.to.it,comune.front@pec.it,83002610018,10070
001110,http://comune.frossasco.to.it,comune.frossasco.to@legalmail.it,85003110013,10060
001111,http://comune.garzigliana.to.it,garzigliana@cert.ruparpiemonte.it,85003130011,10060
