pro_com_t,lat,long
001001,45.367055,7.766918
001002,44.917042,7.484321
001003,45.31515,7.305909
001004,45.432959,7.950621
001006,45.116876,7.39455
001007,45.408916,7.578978
001008,45.095724,7.525403
001009,45.037748,7.870527
001010,45.52736,7.880318
001011,44.843582,7.223816
001012,45.040275,7.901594
001013,45.077944,7.39839
001014,45.423459,7.993922
001015,45.386587,7.755447
001016,45.275323,7.520282
001017,45.410256,7.744217
001018,45.068636,7.816531
001019,45.302504,7.215432
001020,45.453558,7.856318
001021,45.291252,7.630317
001022,45.078339,6.703205
001023,45.325527,7.873063
001024,45.022097,7.579397
001025,44.798937,7.288219
001026,44.807952,7.116764
001027,45.470859,7.94202
001028,45.152145,7.657973
001029,45.417055,7.668515
001030,45.51286,7.858017
001031,45.363257,7.987523
001032,45.122844,7.239712
001033,45.26755,7.7666
001034,45.176606,7.838004
001035,44.823409,7.305296
001036,45.492502,7.803288
001037,45.117436,8.073603
001038,45.021152,7.468551
001039,45.155492,8.060103
001040,45.142226,7.195648
001041,44.87364,7.41032
001042,45.48116,7.93392
001043,45.329438,7.655732
001044,45.139271,7.147717
001045,45.068804,7.434488
001046,45.24596,7.517235
001047,45.304955,7.895722
001048,44.971416,7.778698
001049,44.804598,7.322313
001050,45.327755,7.885121
001051,44.959244,7.601722
001052,45.373987,7.596126
001053,44.945941,7.330317
001054,45.343349,7.380124
001055,45.118845,7.331914
001056,45.398258,7.960322
001057,45.583302,7.810406
001058,44.906943,7.673225
001059,44.846947,7.717874
001060,45.130451,7.940426
001061,45.480159,7.905619
001062,45.104746,7.480817
001063,45.17749,7.646367
001064,45.159251,7.889425
001065,44.898142,7.566123
001066,45.381955,7.712117
001067,45.438156,7.694615
001068,45.11905,7.807124
001069,45.152137,8.051479
001070,44.785499,7.373841
001071,44.861291,7.50127
001072,45.313377,7.389688
001073,45.431952,7.235706
001074,44.952236,6.790805
001075,45.363669,7.341471
001076,45.148094,7.16933
001077,45.49886,7.902619
001078,45.013884,7.822354
001079,45.417886,7.655795
001080,45.119542,6.985306
001081,45.103913,7.326972
001082,45.190959,7.887186
001083,45.329915,7.759492
001084,45.428556,7.688115
001085,45.09425,7.925627
001086,45.235277,7.600308
001087,44.938799,6.750294
001088,45.297583,7.460458
001089,45.052194,7.297902
001090,45.077547,7.572426
001091,45.422356,7.679815
001092,45.431887,7.799591
001093,45.117419,7.309455
001094,45.313499,7.532087
001095,45.387758,7.991523
001096,45.359435,7.815187
001097,44.979742,7.376717
001098,45.38972,7.649817
001099,45.134748,7.576618
001100,45.097383,6.929065
001101,45.331154,7.690617
001102,45.303853,7.744719
001103,45.036095,7.049562
001104,45.216871,7.522685
001105,45.467758,7.833718
001106,45.271272,7.822265
001107,45.345353,7.591015
001108,45.437142,7.606743
001109,45.280852,7.663618
001110,44.932944,7.350218
001111,44.837239,7.37442
001112,45.13165,7.827624
001113,45.263872,7.469483
001114,45.140239,7.014756
001115,45.042005,7.351994
001116,45.162248,7.496416
001117,45.125342,7.017507
001118,45.369225,7.233967
001119,45.257502,7.557907
001120,45.068046,7.57762
001121,45.466468,7.570917
001122,44.94564,7.218414
001123,44.906727,7.910151
001124,45.446934,7.752122
001125,45.467379,7.874797
001126,45.180348,7.516316
001127,44.957744,7.667324
001128,45.27335,7.477411
001129,45.158252,7.991627
001130,45.184582,7.713271
001131,45.228199,7.292044
001132,45.478258,7.814717
001133,45.318202,7.606187
001134,45.417654,7.458814
001135,45.235452,7.74032
001136,44.840941,7.635925
001137,45.441657,7.812718
001139,44.815437,7.251318
001140,44.803137,7.246718
001141,45.318401,7.766652
001142,44.851139,7.39802
001143,45.346657,8.013324
001144,45.058032,7.874623
001145,44.967557,7.026199
001146,45.255172,7.541984
001147,45.118143,7.115109
001148,45.300255,7.932723
001149,45.122043,7.064708
001150,45.357182,7.882359
001152,45.295129,7.394459
001153,45.045749,7.920827
001154,45.142043,7.064609
001155,45.301873,7.439681
001156,45.000461,7.684754
001157,45.205285,6.9825
001158,45.065487,7.849601
001159,45.337455,7.83882
001160,45.490759,7.862818
001161,45.233553,7.853323
001162,45.1509,8.016847
001163,45.037649,7.940028
001164,44.995518,7.646618
001165,45.453972,7.314554
001166,45.243991,7.572752
