comune_denominazione,comune_codice_istat,latitudine,longitudine
Agliè,001001,45.367055,7.766918
Airasca,001002,44.917042,7.484321
Ala di Stura,001003,45.31515,7.305909
Albiano d'Ivrea,001004,45.432959,7.950621
Almese,001006,45.116876,7.39455
Alpette,001007,45.408916,7.578978
Alpignano,001008,45.095724,7.525403
Andezeno,001009,45.037748,7.870527
Andrate,001010,45.52736,7.880318
Angrogna,001011,44.843582,7.223816
Arignano,001012,45.040275,7.901594
Avigliana,001013,45.077944,7.39839
Azeglio,001014,45.423459,7.993922
Bairo,001015,45.386587,7.755447
Balangero,001016,45.275323,7.520282
Baldissero Canavese,001017,45.410256,7.744217
Baldissero Torinese,001018,45.068636,7.816531
Balme,001019,45.302504,7.215432
Banchette,001020,45.453558,7.856318
Barbania,001021,45.291252,7.630317
Bardonecchia,001022,45.078339,6.703205
Barone Canavese,001023,45.325527,7.873063
Beinasco,001024,45.022097,7.579397
Bibiana,001025,44.798937,7.288219
Bobbio Pellice,001026,44.807952,7.116764
Bollengo,001027,45.470859,7.94202
Borgaro Torinese,001028,45.152145,7.657973
Borgiallo,001029,45.417055,7.668515
Borgofranco d'Ivrea,001030,45.51286,7.858017
Borgomasino,001031,45.363257,7.987523
Borgone Susa,001032,45.122844,7.239712
Bosconero,001033,45.26755,7.7666
Brandizzo,001034,45.176606,7.838004
Bricherasio,001035,44.823409,7.305296
Brosso,001036,45.492502,7.803288
Brozolo,001037,45.117436,8.073603
Bruino,001038,45.021152,7.468551
Brusasco,001039,45.155492,8.060103
Bruzolo,001040,45.142226,7.195648
Buriasco,001041,44.87364,7.41032
Burolo,001042,45.48116,7.93392
Busano,001043,45.329438,7.655732
Bussoleno,001044,45.139271,7.147717
Buttigliera Alta,001045,45.068804,7.434488
Cafasse,001046,45.24596,7.517235
Caluso,001047,45.304955,7.895722
Cambiano,001048,44.971416,7.778698
Campiglione Fenile,001049,44.804598,7.322313
Candia Canavese,001050,45.327755,7.885121
Candiolo,001051,44.959244,7.601722
Canischio,001052,45.373987,7.596126
Cantalupa,001053,44.945941,7.330317
Cantoira,001054,45.343349,7.380124
Caprie,001055,45.118845,7.331914
Caravino,001056,45.398258,7.960322
Carema,001057,45.583302,7.810406
Carignano,001058,44.906943,7.673225
Carmagnola,001059,44.846947,7.717874
Casalborgone,001060,45.130451,7.940426
Cascinette d'Ivrea,001061,45.480159,7.905619
Caselette,001062,45.104746,7.480817
Caselle Torinese,001063,45.17749,7.646367
Castagneto Po,001064,45.159251,7.889425
Castagnole Piemonte,001065,44.898142,7.566123
Castellamonte,001066,45.381955,7.712117
Castelnuovo Nigra,001067,45.438156,7.694615
Castiglione Torinese,001068,45.11905,7.807124
Cavagnolo,001069,45.152137,8.051479
Cavour,001070,44.785499,7.373841
Cercenasco,001071,44.861291,7.50127
Ceres,001072,45.313377,7.389688
Ceresole Reale,001073,45.431952,7.235706
Cesana Torinese,001074,44.952236,6.790805
Chialamberto,001075,45.363669,7.341471
Chianocco,001076,45.148094,7.16933
Chiaverano,001077,45.49886,7.902619
Chieri,001078,45.013884,7.822354
Chiesanuova,001079,45.417886,7.655795
Chiomonte,001080,45.119542,6.985306
Chiusa di San Michele,001081,45.103913,7.326972
Chivasso,001082,45.190959,7.887186
Ciconio,001083,45.329915,7.759492
Cintano,001084,45.428556,7.688115
Cinzano,001085,45.09425,7.925627
Ciriè,001086,45.235277,7.600308
Claviere,001087,44.938799,6.750294
Coassolo Torinese,001088,45.297583,7.460458
Coazze,001089,45.052194,7.297902
Collegno,001090,45.077547,7.572426
Colleretto Castelnuovo,001091,45.422356,7.679815
Colleretto Giacosa,001092,45.431887,7.799591
Condove,001093,45.117419,7.309455
Corio,001094,45.313499,7.532087
Cossano Canavese,001095,45.387758,7.991523
Cuceglio,001096,45.359435,7.815187
Cumiana,001097,44.979742,7.376717
Cuorgnè,001098,45.38972,7.649817
Druento,001099,45.134748,7.576618
Exilles,001100,45.097383,6.929065
Favria,001101,45.331154,7.690617
Feletto,001102,45.303853,7.744719
Fenestrelle,001103,45.036095,7.049562
Fiano,001104,45.216871,7.522685
Fiorano Canavese,001105,45.467758,7.833718
Foglizzo,001106,45.271272,7.822265
Forno Canavese,001107,45.345353,7.591015
Frassinetto,001108,45.437142,7.606743
Front,001109,45.280852,7.663618
Frossasco,001110,44.932944,7.350218
Garzigliana,001111,44.837239,7.37442
Gassino Torinese,001112,45.13165,7.827624
Germagnano,001113,45.263872,7.469483
Giaglione,001114,45.140239,7.014756
Giaveno,001115,45.042005,7.351994
Givoletto,001116,45.162248,7.496416
Gravere,001117,45.125342,7.017507
Groscavallo,001118,45.369225,7.233967
Grosso,001119,45.257502,7.557907
Grugliasco,001120,45.068046,7.57762
Ingria,001121,45.466468,7.570917
Inverso Pinasca,001122,44.94564,7.218414
Isolabella,001123,44.906727,7.910151
Issiglio,001124,45.446934,7.752122
Ivrea,001125,45.467379,7.874797
La Cassa,001126,45.180348,7.516316
La Loggia,001127,44.957744,7.667324
Lanzo Torinese,001128,45.27335,7.477411
Lauriano,001129,45.158252,7.991627
Leini,001130,45.184582,7.713271
Lemie,001131,45.228199,7.292044
Lessolo,001132,45.478258,7.814717
