comune,pro_com_t,lat,long,den_prov,sigla,den_reg,cod_reg,cap,cf,pec,mail,sito_web,wikipedia,stemma
Agliè,001001,45.367055,7.766918,Torino,TO,Piemonte,1,10011,83501790014,protocollo@pec.comune.aglie.to.it,protocollo@comune.aglie.to.it,http://comune.aglie.to.it,https://it.wikipedia.org/wiki/Agliè,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001001.jpg
Airasca,001002,44.917042,7.484321,Torino,TO,Piemonte,1,10060,85002910017,airasca@postemailcertificata.it,protocollo@comune.airasca.to.it,http://comune.airasca.to.it,https://it.wikipedia.org/wiki/Airasca,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001002.jpg
Ala di Stura,001003,45.31515,7.305909,Torino,TO,Piemonte,1,10070,83002970016,comunealadistura@pec.it,,http://comunealadistura.it,https://it.wikipedia.org/wiki/Ala_di_Stura,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001003.jpg
Albiano d'Ivrea,001004,45.432959,7.950621,Torino,TO,Piemonte,1,10010,1735420018,albiano.divrea@cert.ruparpiemonte.it,albiano.divrea@ruparpiemonte.it,http://comune.albianodivrea.to.it,https://it.wikipedia.org/wiki/Albiano_d'Ivrea,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001004.jpg
Almese,001006,45.116876,7.39455,Torino,TO,Piemonte,1,10040,1817670019,comune.almese.to@cert.legalmail.it,segreteria@comune.almese.to.it,http://comune.almese.to.it,https://it.wikipedia.org/wiki/Almese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001006.jpg
Alpette,001007,45.408916,7.578978,Torino,TO,Piemonte,1,10080,1673090013,comune.alpette.to@legalmail.it,segreteria.sindaco@comune.alpette.to.it,http://comune.alpette.to.it,https://it.wikipedia.org/wiki/Alpette,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001007.jpg
Alpignano,001008,45.095724,7.525403,Torino,TO,Piemonte,1,10091,86003150017,protocollo.alpignano@cert.legalmail.it,urp@comune.alpignano.to.it,http://comune.alpignano.to.it,https://it.wikipedia.org/wiki/Alpignano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001008.jpg
Andezeno,001009,45.037748,7.870527,Torino,TO,Piemonte,1,10020,90003860013,comune.andezeno.to@legalmail.it,protocollo@comune.andezeno.to.it,http://comune.andezeno.to.it,https://it.wikipedia.org/wiki/Andezeno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001009.jpg
Andrate,001010,45.52736,7.880318,Torino,TO,Piemonte,1,10010,84003370016,andrate@cert.ruparpiemonte.it,andrate@ruparpiemonte.it,http://comune.andrate.to.it,https://it.wikipedia.org/wiki/Andrate,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001010.jpg
Angrogna,001011,44.843582,7.223816,Torino,TO,Piemonte,1,10060,1451180010,angrogna@cert.ruparpiemonte.it,segreteria@comune.angrogna.to.it,http://comune.angrogna.to.it,https://it.wikipedia.org/wiki/Angrogna,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001011.jpg
