pro_com_t,pop_res_21
1001,2548
1002,3569
1003,448
1004,1650
1006,6448
1007,238
1008,16732
1009,2030
1010,485
1011,838
1012,1094
1013,12526
1014,1234
1015,778
1016,3110
1017,531
1018,3626
1019,113
1020,3094
1021,1571
1022,3096
1023,556
1024,17557
1025,3441
1026,535
1027,2114
1028,11838
1029,587
1030,3621
1031,766
1032,2189
1033,3082
1034,8644
1035,4585
1036,405
1037,448
1038,8517
1039,1479
1040,1502
1041,1340
1042,1120
1043,1623
1044,5794
1045,6372
1046,3353
1047,7401
1048,5950
1049,1354
1050,1190
1051,5650
1052,275
1053,2593
1054,601
1055,2064
1056,899
1057,742
1058,9145
1059,28342
1060,1871
1061,1539
1062,3017
1063,13814
1064,1749
1065,2171
1066,9806
1067,420
1068,6484
1069,2310
1070,5356
1071,1765
1072,1038
1073,165
1074,927
1075,357
1076,1589
1077,2056
1078,35912
1079,234
1080,866
1081,1574
1082,26608
1083,353
1084,239
1085,319
1086,18100
1087,195
1088,1477
1089,3143
1090,49099
1091,309
1092,591
1093,4474
1094,3106
1095,442
1096,930
1097,7854
1098,9495
1099,8972
1100,243
1101,5133
1102,2200
1103,482
1104,2646
1105,749
1106,2271
1107,3260
1108,275
1109,1644
1110,2871
1111,542
1112,9385
1113,1130
1114,602
1115,16204
1116,4011
1117,671
1118,196
1119,957
1120,36700
1121,44
1122,688
1123,374
1124,411
1125,23048
1126,1767
1127,8819
1128,4917
1129,1437
1130,16303
1131,184
1132,1797
1133,428
1134,1399
1135,1682
1136,1060
1137,1153
1139,7160
1140,498
1141,548
1142,1162
1143,415
1144,1315
1145,56
1146,3816
1147,648
1148,4138
1149,807
1150,1271
1152,760
1153,383
1154,638
1155,332
1156,56522
1157,40
1158,722
1159,985
1160,3371
1161,5135
1162,831
1163,848
1164,46535
1165,106
1166,6827
1167,290
1168,7911
1169,528
1170,1456
1171,23165
1172,760
1173,1176
1174,929
1175,3308
1176,1177
1177,842
1178,1992
1179,419
1180,1122
1181,3703
1183,4052
1184,3174
1185,515
1186,600
1187,749
1188,625
1189,15425
1190,2849
1191,35546
1192,8378
1193,3881
1194,18020
1195,3380
1196,1339
1197,10112
1198,978
1199,3152
1200,1080
1201,745
1202,260
1203,1890
1204,225
1205,1256
1206,739
1207,458
1208,325
1209,347
1210,1006
1211,1774
1212,52
1213,1136
1214,20061
1215,4753
1216,2538
1217,12400
1218,1559
1219,47318
1220,3063
1221,1671
1222,1957
1223,2634
1224,292
1225,1862
1226,230
1227,802
1228,4972
1229,2374
1230,783
1231,1822
1232,609
1233,457
1234,75
1235,1517
1236,5980
1237,4008
1238,353
1239,513
1240,4827
1241,3727
1242,1735
1243,3139
1244,2533
1245,980
1246,3277
1247,808
1248,10165
1249,18520
1250,1445
1251,257
1252,3111
1253,1868
1254,3669
1255,4685
1256,4049
1257,10534
1258,251
1259,1072
1260,3245
1261,807
1262,1446
1263,929
1264,465
1265,46699
1266,1525
1267,932
1268,270
1269,6067
1270,6046
1271,769
1272,848196
1273,2973
1274,608
1275,4558
1276,3835
1278,322
1279,510
1280,10697
1281,178
1282,201
1283,1406
1284,4008
1285,929
1286,791
1287,3027
1288,93
1289,853
1290,1444
1291,878
1292,32818
1293,4780
1294,1344
1295,766
1296,241
1298,494
1299,5114
1300,4518
1301,1197
1302,3503
1303,2792
1304,1011
1305,1957
1306,1061
1307,3942
1308,4509
1309,15026
1310,1162
1311,1181
1312,519
1313,1032
1314,15260
1315,8577
1316,7404
1317,1264
1318,1005
2002,730
2003,304
2004,2527
2006,840
2007,1380
2008,114
2009,213
2011,1847
2014,160
2015,2267
2016,12355
2017,2224
2021,833
2025,215
2029,72
2030,1043
2031,1093
2032,753
2033,221
2035,291
2041,53
2042,4312
2043,238
2045,85
2047,748
2048,251
2049,7615
2052,388
2054,1068
2057,185
2058,1067
2059,487
2061,7636
2062,809
2065,338
2066,338
2067,512
2068,792
2070,517
2071,4171
2072,798
2078,94
2079,1361
2082,736
2088,782
2089,214
2090,1110
2091,284
2093,1277
2096,138
2097,188
2102,572
2104,721
2107,3879
2108,380
2110,69
2113,131
2115,424
2116,2307
