pro_com_t,<5,>=5,totale
001001,87,2458,2545
001002,139,3494,3633
001003,13,446,459
001004,57,1581,1638
001006,217,6138,6355
001007,2,233,235
001008,465,16019,16484
001009,87,1926,2013
001010,13,475,488
001011,20,818,838
001012,38,1042,1080
001013,402,11949,12351
001014,41,1194,1235
001015,29,758,787
001016,104,2960,3064
001017,19,514,533
001018,110,3561,3671
001019,0,110,110
001020,99,3013,3112
001021,50,1535,1585
001022,94,2984,3078
001023,13,546,559
001024,584,16948,17532
001025,113,3279,3392
001026,19,518,537
001027,63,2034,2097
001028,455,11318,11773
001029,29,563,592
001030,109,3481,3590
001031,24,748,772
001032,86,2101,2187
001033,123,2951,3074
001034,391,8407,8798
001035,184,4380,4564
001036,10,392,402
001037,10,439,449
001038,286,8189,8475
001039,44,1438,1482
001040,51,1436,1487
001041,47,1282,1329
001042,30,1104,1134
001043,71,1551,1622
001044,172,5531,5703
001045,220,6072,6292
001046,84,3250,3334
001047,244,7100,7344
001048,182,5733,5915
001049,58,1275,1333
001050,40,1179,1219
001051,229,5398,5627
001052,8,269,277
001053,81,2493,2574
001054,16,572,588
001055,74,1983,2057
001056,24,877,901
001057,30,709,739
001058,315,8736,9051
001059,1198,27201,28399
001060,49,1813,1862
001061,54,1478,1532
001062,107,2898,3005
001063,552,13197,13749
001064,47,1708,1755
001065,80,2085,2165
001066,350,9317,9667
001067,11,405,416
001068,233,6213,6446
001069,80,2157,2237
001070,201,5184,5385
001071,55,1706,1761
001072,21,1011,1032
001073,4,163,167
001074,21,892,913
001075,7,346,353
001076,43,1526,1569
001077,55,1966,2021
001078,1255,34746,36001
001079,14,219,233
001080,20,840,860
001081,50,1515,1565
001082,991,25506,26497
001083,10,350,360
001084,13,229,242
001085,2,319,321
001086,591,17670,18261
001087,9,193,202
001088,46,1403,1449
001089,83,3088,3171
001090,1675,47072,48747
001091,14,298,312
001092,22,569,591
001093,133,4294,4427
001094,101,2981,3082
001095,8,435,443
001096,31,906,937
001097,269,7518,7787
001098,319,9094,9413
001099,329,8493,8822
001100,3,241,244
001101,214,4908,5122
001102,96,2082,2178
001103,11,472,483
001104,72,2568,2640
001105,11,740,751
001106,86,2169,2255
001107,124,3147,3271
001108,6,268,274
001109,44,1583,1627
001110,80,2761,2841
001111,22,522,544
001112,348,9041,9389
001113,25,1092,1117
001114,16,578,594
001115,453,15715,16168
001116,161,3842,4003
001117,10,655,665
001118,4,190,194
001119,22,951,973
001120,1208,35993,37201
001121,1,44,45
001122,18,671,689
001123,12,359,371
001124,10,399,409
001125,678,22161,22839
001126,53,1713,1766
001127,382,8401,8783
001128,139,4739,4878
001129,39,1383,1422
001130,721,15588,16309
001131,8,177,185
001132,42,1753,1795
001133,20,409,429
001134,22,1360,1382
001135,43,1626,1669
001136,49,1017,1066
001137,37,1112,1149
001139,203,6893,7096
001140,20,472,492
001141,19,528,547
001142,34,1117,1151
001143,12,401,413
001144,38,1268,1306
001145,1,55,56
001146,104,3691,3795
001147,24,623,647
001148,152,4017,4169
001149,14,795,809
001150,56,1227,1283
001152,19,741,760
001153,10,373,383
001154,25,614,639
001155,6,325,331
001156,2118,54201,56319
001157,1,40,41
001158,18,705,723
001159,23,962,985
001160,101,3248,3349
001161,174,4945,5119
001162,30,812,842
001163,30,822,852
001164,1668,44844,46512
001165,0,107,107
001166,243,6527,6770
001167,9,282,291
001168,299,7550,7849
001169,16,510,526
001170,54,1399,1453
001171,848,22213,23061
001172,22,742,764
001173,49,1124,1173
001174,29,900,929
