pro_com_t,wikidata
1201,http://www.wikidata.org/entity/Q10201
1202,http://www.wikidata.org/entity/Q10203
1203,http://www.wikidata.org/entity/Q10204
1204,http://www.wikidata.org/entity/Q10205
1205,http://www.wikidata.org/entity/Q10207
1206,http://www.wikidata.org/entity/Q10208
1207,http://www.wikidata.org/entity/Q10209
1208,http://www.wikidata.org/entity/Q10211
1209,http://www.wikidata.org/entity/Q10212
1210,http://www.wikidata.org/entity/Q10213
1211,http://www.wikidata.org/entity/Q10215
1212,http://www.wikidata.org/entity/Q10217
1215,http://www.wikidata.org/entity/Q10219
1213,http://www.wikidata.org/entity/Q10221
1214,http://www.wikidata.org/entity/Q10222
1216,http://www.wikidata.org/entity/Q10224
1217,http://www.wikidata.org/entity/Q10226
1218,http://www.wikidata.org/entity/Q10229
1219,http://www.wikidata.org/entity/Q10231
1220,http://www.wikidata.org/entity/Q10232
1221,http://www.wikidata.org/entity/Q10234
1222,http://www.wikidata.org/entity/Q10236
1223,http://www.wikidata.org/entity/Q10237
1224,http://www.wikidata.org/entity/Q10239
1225,http://www.wikidata.org/entity/Q10241
1226,http://www.wikidata.org/entity/Q10242
1228,http://www.wikidata.org/entity/Q10243
1227,http://www.wikidata.org/entity/Q10245
1229,http://www.wikidata.org/entity/Q10246
1230,http://www.wikidata.org/entity/Q10247
1231,http://www.wikidata.org/entity/Q10248
1232,http://www.wikidata.org/entity/Q10250
1233,http://www.wikidata.org/entity/Q10252
1234,http://www.wikidata.org/entity/Q10254
1235,http://www.wikidata.org/entity/Q10255
1236,http://www.wikidata.org/entity/Q10256
1237,http://www.wikidata.org/entity/Q10258
1238,http://www.wikidata.org/entity/Q10260
1239,http://www.wikidata.org/entity/Q10262
1240,http://www.wikidata.org/entity/Q10263
1242,http://www.wikidata.org/entity/Q10264
1243,http://www.wikidata.org/entity/Q10265
1244,http://www.wikidata.org/entity/Q10268
1245,http://www.wikidata.org/entity/Q10271
1246,http://www.wikidata.org/entity/Q10272
1247,http://www.wikidata.org/entity/Q10273
1248,http://www.wikidata.org/entity/Q10275
1249,http://www.wikidata.org/entity/Q10276
1250,http://www.wikidata.org/entity/Q10277
1251,http://www.wikidata.org/entity/Q10278
1252,http://www.wikidata.org/entity/Q10279
1253,http://www.wikidata.org/entity/Q10280
1254,http://www.wikidata.org/entity/Q10281
1241,http://www.wikidata.org/entity/Q10284
1255,http://www.wikidata.org/entity/Q10291
1256,http://www.wikidata.org/entity/Q10292
1257,http://www.wikidata.org/entity/Q10293
1259,http://www.wikidata.org/entity/Q10295
1258,http://www.wikidata.org/entity/Q10297
1260,http://www.wikidata.org/entity/Q10298
1261,http://www.wikidata.org/entity/Q10299
1262,http://www.wikidata.org/entity/Q10301
1263,http://www.wikidata.org/entity/Q10302
1264,http://www.wikidata.org/entity/Q10303
1265,http://www.wikidata.org/entity/Q10304
1266,http://www.wikidata.org/entity/Q10306
1267,http://www.wikidata.org/entity/Q10307
1268,http://www.wikidata.org/entity/Q10309
1269,http://www.wikidata.org/entity/Q10310
1270,http://www.wikidata.org/entity/Q10311
1271,http://www.wikidata.org/entity/Q10312
1273,http://www.wikidata.org/entity/Q10314
1274,http://www.wikidata.org/entity/Q10316
1275,http://www.wikidata.org/entity/Q10318
1276,http://www.wikidata.org/entity/Q10320
1278,http://www.wikidata.org/entity/Q10323
1279,http://www.wikidata.org/entity/Q10324
1280,http://www.wikidata.org/entity/Q10325
1281,http://www.wikidata.org/entity/Q10326
1282,http://www.wikidata.org/entity/Q10328
1283,http://www.wikidata.org/entity/Q10330
1285,http://www.wikidata.org/entity/Q10331
1286,http://www.wikidata.org/entity/Q10334
1287,http://www.wikidata.org/entity/Q10335
1288,http://www.wikidata.org/entity/Q10336
1289,http://www.wikidata.org/entity/Q10337
1290,http://www.wikidata.org/entity/Q10338
1292,http://www.wikidata.org/entity/Q10339
1291,http://www.wikidata.org/entity/Q10342
1293,http://www.wikidata.org/entity/Q10343
1294,http://www.wikidata.org/entity/Q10344
1295,http://www.wikidata.org/entity/Q10346
1296,http://www.wikidata.org/entity/Q10347
1298,http://www.wikidata.org/entity/Q10349
1299,http://www.wikidata.org/entity/Q10350
1300,http://www.wikidata.org/entity/Q10351
1301,http://www.wikidata.org/entity/Q10352
1303,http://www.wikidata.org/entity/Q10354
1305,http://www.wikidata.org/entity/Q10355
1306,http://www.wikidata.org/entity/Q10356
1098,http://www.wikidata.org/entity/Q9330
1099,http://www.wikidata.org/entity/Q9336
1100,http://www.wikidata.org/entity/Q9338
1101,http://www.wikidata.org/entity/Q9343
1102,http://www.wikidata.org/entity/Q9346
1103,http://www.wikidata.org/entity/Q9352
1104,http://www.wikidata.org/entity/Q9356
1105,http://www.wikidata.org/entity/Q9357
1106,http://www.wikidata.org/entity/Q9360
1107,http://www.wikidata.org/entity/Q9363
1108,http://www.wikidata.org/entity/Q9367
1109,http://www.wikidata.org/entity/Q9370
1110,http://www.wikidata.org/entity/Q9373
